horizon,mse,rmse,mae,mape,mdape,smape,coverage
3 days,44841.01484434944,211.75697118241337,132.59950370877004,0.15879223063330572,0.07471121378996293,0.13525905650500547,0.8492063492063493
4 days,34875.540572424856,186.74994129162357,118.00590504154394,0.15361759652385737,0.067082205490866,0.12879351857692262,0.8492063492063493
5 days,58182.49852851477,241.2104859422881,144.90075978581748,0.1511964725388867,0.06053051807257491,0.15866107193494688,0.7962962962962963
6 days,43923.246124756355,209.57873490589725,121.25304894102156,0.11835518097278741,0.051188221539183426,0.1396436368860625,0.8571428571428572
7 days,64985.002376506076,254.9215612232635,160.28225674400787,0.1709432703535155,0.057457884881761664,0.17696860662280603,0.7698412698412699
8 days,46712.652938675674,216.13110127576658,142.15313356698607,0.15347301893747162,0.07926885445580496,0.1481177589540782,0.8333333333333334
9 days,92972.38873109808,304.9137398201302,193.15061784671082,0.3624146657317587,0.11266140612336226,0.21380774189971175,0.8015873015873016
10 days,71809.54343387592,267.9730274372328,151.63712838435265,0.29923397370450555,0.08641569387913918,0.1603662910058683,0.8888888888888888
11 days,69707.75926839543,264.02227040231935,143.10680389053383,0.30299294166715435,0.06875090693803321,0.16144007482604106,0.8888888888888888
12 days,48777.57190749946,220.85645090759624,124.47710491004912,0.09551006678957658,0.043677130307630374,0.10137705184583434,0.8888888888888888
13 days,38195.67039355252,195.43712644621166,115.65136560975056,0.09463475683625523,0.07518550037330764,0.09699605566368688,0.9444444444444444
14 days,33083.33146196341,181.8882389324923,110.89796301642025,0.09251714650482008,0.07291109403506313,0.0957755476642988,0.9537037037037037
15 days,9355.890648318324,96.72585305035217,82.6033182058447,0.08253881692760902,0.0532732654199239,0.08338689780476075,0.9444444444444444
16 days,10155.398028363163,100.77399480204782,83.09267212119484,0.08124206594399057,0.05896581666343794,0.08402142769813324,0.8888888888888888
17 days,10562.681130762243,102.77490516056068,83.36924969583023,0.0858232405367234,0.05980128965778717,0.08737145502211788,0.8968253968253967
18 days,8692.716308277113,93.23473766937468,75.82159632373389,0.07891310355089654,0.05989415626889151,0.07930906947140609,0.9365079365079365
19 days,8615.094152645826,92.8175314940331,79.96710202776296,0.0802536633568491,0.07039991099216777,0.07958715078720564,0.9814814814814815
20 days,7911.351560121968,88.9457787650542,77.1383240239459,0.07047185021310406,0.06987576751973479,0.07015867570228335,1.0
21 days,11583.44667071169,107.62642180576148,92.16982968593952,0.08381195423038323,0.07830967386782312,0.08099383537353555,0.9444444444444444
22 days,12424.642954470379,111.46588246845032,92.85964435533808,0.09306496894310505,0.06987576751973479,0.09176856382550286,0.9444444444444444
23 days,10581.561144375924,102.86671543495459,82.46752808969256,0.08833525980139043,0.05788670001700026,0.08640596243118796,0.9444444444444444
24 days,14254.091411506837,119.39049967022852,80.29199171575723,0.09275213104488811,0.050372707105504066,0.08539215555811504,0.9444444444444444
25 days,45351.70391795781,212.95939499810243,111.98395826542176,0.24741712023150933,0.04958493062574115,0.13569452584528244,0.8888888888888888
26 days,111476.84570337302,333.88148451714574,170.2391668499046,0.2708588883724193,0.055253476233516105,0.17559544119486553,0.8492063492063493
27 days,131648.38156399239,362.83382086568554,199.97671906936517,0.31773828473420446,0.06816662825536587,0.20570423040962807,0.8333333333333334
28 days,128112.60225059188,357.92820823538324,207.8277106490956,0.2352379548832191,0.07973844528366406,0.1910654514603192,0.8253968253968255
29 days,66902.65923073498,258.6554836664689,151.2346713762694,0.18302136477400893,0.06787389153031181,0.14156990820458532,0.8796296296296295
30 days,31576.30955450335,177.69724126869093,110.8555573802413,0.13150221332421108,0.06573200671369145,0.10695891058548357,0.8981481481481483
