TIME,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,BIKE USAGE
2018-12-24,1052352,667873,381204,706.0
2018-12-25,1052352,662425,386585,316.0
2018-12-26,1052352,662169,386517,386.0
2018-12-27,1052352,669288,378549,726.0
2018-12-28,1052352,672022,375107,694.0
2018-12-29,1052352,660581,379674,639.0
2018-12-30,1052352,659319,375630,669.0
2018-12-31,1052352,667464,365892,750.0
2019-01-01,1052352,663792,370929,431.0
2019-01-02,1048698,683409,355619,1227.0
2019-01-03,1052352,692883,355987,1314.0
2019-01-04,1052352,687682,360945,1246.0
2019-01-05,1052352,672719,376314,632.0
2019-01-06,1052352,672727,376695,705.0
2019-01-07,1052352,694055,353921,1478.0
2019-01-08,1052352,692367,356270,1455.0
2019-01-09,1052352,686553,361673,1449.0
2019-01-10,1052352,680711,367343,1356.0
2019-01-11,1052352,677561,370477,1249.0
2019-01-12,1052352,663731,384919,777.0
2019-01-13,1052352,661518,387448,620.0
2019-01-14,1052352,682328,366568,1459.0
2019-01-15,1052352,685534,362446,1589.0
2019-01-16,1052352,685893,362135,1565.0
2019-01-17,1052352,686137,361447,1495.0
2019-01-18,1052352,684781,363737,1291.0
2019-01-19,1052352,666829,382449,699.0
2019-01-20,1052352,666653,382618,575.0
2019-01-21,1052352,676044,365192,1489.0
2019-01-22,1052352,678617,361079,1430.0
2019-01-23,1052352,679946,359992,1575.0
2019-01-24,1047268,675542,363163,1408.0
2019-01-25,1043424,679254,359692,1471.0
2019-01-26,1043424,659462,380630,657.0
2019-01-27,1043424,660342,378791,538.0
2019-01-28,1043424,678408,358916,1342.0
2019-01-29,1043424,674832,362493,1457.0
2019-01-30,1043424,675248,361163,1525.0
2019-01-31,1043424,668439,368133,1118.0
2019-02-01,1043424,672521,363630,1317.0
2019-02-02,1043424,658006,379589,697.0
2019-02-03,1043424,653260,384371,584.0
2019-02-04,1043424,678851,357678,1388.0
2019-02-05,1043424,680729,355608,1454.0
2019-02-06,1039801,680250,352577,1444.0
2019-02-07,1043424,680880,355883,1551.0
2019-02-08,1043424,672889,364190,1267.0
2019-02-09,1043424,655031,377679,674.0
2019-02-10,1043424,656423,376059,642.0
2019-02-11,1043424,680014,355091,1373.0
2019-02-12,1043424,687576,350165,1522.0
2019-02-13,1043424,692368,346835,1508.0
2019-02-14,1043424,690559,347897,1508.0
2019-02-15,1043424,687400,350187,1310.0
2019-02-16,1043424,662462,367390,768.0
2019-02-17,1036178,652439,364218,726.0
2019-02-18,1043424,686111,346060,1374.0
2019-02-19,1043424,691505,345751,1273.0
2019-02-20,1043424,696181,339857,1400.0
2019-02-21,1043424,698730,338310,1417.0
2019-02-22,1043424,691239,346238,1216.0
2019-02-23,1043424,674691,360178,803.0
2019-02-24,1043424,670653,359096,725.0
2019-02-25,1043424,693769,343141,1418.0
2019-02-26,1043424,694835,341577,1409.0
2019-02-27,1043424,693242,342890,1467.0
2019-02-28,1043424,693572,342389,1500.0
2019-03-01,1043424,692795,342625,1409.0
2019-03-02,1043424,659961,365700,697.0
2019-03-03,1043424,654117,371597,498.0
2019-03-04,1043424,686467,346464,1474.0
2019-03-05,1036178,688770,340512,1319.0
2019-03-06,1043424,692232,343573,1413.0
2019-03-07,1043424,689192,346792,1449.0
2019-03-08,351431,233260,118171,529.0
2019-03-09,1043424,676552,366872,764.0
2019-03-10,1043424,676408,367016,599.0
2019-03-11,1039801,695075,342483,1410.0
2019-03-12,1043424,694313,341878,1452.0
2019-03-13,1041084,690622,344914,1358.0
2019-03-14,1039104,689516,346612,1372.0
2019-03-15,1035496,675923,348568,1291.0
2019-03-16,1039104,630544,373622,648.0
2019-03-17,1039104,634757,364895,584.0
2019-03-18,1039104,640101,367249,570.0
2019-03-19,1039104,680274,346963,1436.0
2019-03-20,1039104,691779,346307,1424.0
2019-03-21,1039104,689604,348713,1448.0
2019-03-22,1039104,678893,359499,1353.0
2019-03-23,1039104,663440,374862,828.0
2019-03-24,1039104,661703,376704,742.0
2019-03-25,1031888,679377,351061,1358.0
2019-03-26,1039104,693724,343891,1478.0
2019-03-27,1039104,691893,345577,1340.0
2019-03-28,1039104,693063,344687,1514.0
2019-03-29,1039104,683459,355159,1358.0
2019-03-30,1039104,663681,374968,769.0
2019-03-31,1039104,662403,376167,694.0
2019-04-01,1035496,681725,352431,1481.0
2019-04-02,1039104,685861,351096,1557.0
2019-04-03,1039104,682629,354022,1363.0
2019-04-04,1039104,687918,349391,1275.0
2019-04-05,1039104,689611,348704,1342.0
2019-04-06,1039104,672503,366406,826.0
2019-04-07,1039104,673626,364807,733.0
2019-04-08,1039104,690264,346513,1397.0
2019-04-09,1039104,695851,341807,1497.0
2019-04-10,1039104,705356,332871,1629.0
2019-04-11,1039104,694517,343139,1699.0
2019-04-12,1039104,693116,344799,1347.0
2019-04-13,1039104,677142,361652,766.0
2019-04-14,1039104,673248,364633,772.0
2019-04-15,1039104,681995,355550,1257.0
2019-04-16,1039104,687167,351029,1432.0
2019-04-17,1039104,689890,347447,1468.0
2019-04-18,1039104,687047,350689,1469.0
2019-04-19,1039104,672500,367144,1056.0
2019-04-20,1039104,668374,371758,774.0
2019-04-21,1039104,668030,372082,721.0
2019-04-22,1039104,662160,376375,617.0
2019-04-23,1039104,680341,356335,1330.0
2019-04-24,1039104,676784,361359,1348.0
